Slot #,Start Time,End Time,Therapist,Slot Title
1,8:00 AM,8:10 AM,Therapist A,8:00 AM - 8:10 AM (Therapist A)
2,8:00 AM,8:10 AM,Therapist B,8:00 AM - 8:10 AM (Therapist B)
3,8:12 AM,8:22 AM,Therapist A,8:12 AM - 8:22 AM (Therapist A)
4,8:12 AM,8:22 AM,Therapist B,8:12 AM - 8:22 AM (Therapist B)
5,8:24 AM,8:34 AM,Therapist A,8:24 AM - 8:34 AM (Therapist A)
6,8:24 AM,8:34 AM,Therapist B,8:24 AM - 8:34 AM (Therapist B)
7,8:36 AM,8:46 AM,Therapist A,8:36 AM - 8:46 AM (Therapist A)
8,8:36 AM,8:46 AM,Therapist B,8:36 AM - 8:46 AM (Therapist B)
9,8:48 AM,8:58 AM,Therapist A,8:48 AM - 8:58 AM (Therapist A)
10,8:48 AM,8:58 AM,Therapist B,8:48 AM - 8:58 AM (Therapist B)
11,9:00 AM,9:10 AM,Therapist A,9:00 AM - 9:10 AM (Therapist A)
12,9:00 AM,9:10 AM,Therapist B,9:00 AM - 9:10 AM (Therapist B)
13,9:12 AM,9:22 AM,Therapist A,9:12 AM - 9:22 AM (Therapist A)
14,9:12 AM,9:22 AM,Therapist B,9:12 AM - 9:22 AM (Therapist B)
15,9:24 AM,9:34 AM,Therapist A,9:24 AM - 9:34 AM (Therapist A)
16,9:24 AM,9:34 AM,Therapist B,9:24 AM - 9:34 AM (Therapist B)
17,9:36 AM,9:46 AM,Therapist A,9:36 AM - 9:46 AM (Therapist A)
18,9:36 AM,9:46 AM,Therapist B,9:36 AM - 9:46 AM (Therapist B)
19,9:48 AM,9:58 AM,Therapist A,9:48 AM - 9:58 AM (Therapist A)
20,10:00 AM,10:10 AM,Therapist A,10:00 AM - 10:10 AM (Therapist A)
21,10:03 AM,10:13 AM,Therapist B,10:03 AM - 10:13 AM (Therapist B)
22,10:15 AM,10:25 AM,Therapist B,10:15 AM - 10:25 AM (Therapist B)
23,10:27 AM,10:37 AM,Therapist A,10:27 AM - 10:37 AM (Therapist A)
24,10:27 AM,10:37 AM,Therapist B,10:27 AM - 10:37 AM (Therapist B)
25,10:39 AM,10:49 AM,Therapist A,10:39 AM - 10:49 AM (Therapist A)
26,10:39 AM,10:49 AM,Therapist B,10:39 AM - 10:49 AM (Therapist B)
27,10:51 AM,11:01 AM,Therapist A,10:51 AM - 11:01 AM (Therapist A)
28,10:51 AM,11:01 AM,Therapist B,10:51 AM - 11:01 AM (Therapist B)
29,11:03 AM,11:13 AM,Therapist A,11:03 AM - 11:13 AM (Therapist A)
30,11:03 AM,11:13 AM,Therapist B,11:03 AM - 11:13 AM (Therapist B)
31,11:15 AM,11:25 AM,Therapist A,11:15 AM - 11:25 AM (Therapist A)
32,11:15 AM,11:25 AM,Therapist B,11:15 AM - 11:25 AM (Therapist B)
33,11:27 AM,11:37 AM,Therapist B,11:27 AM - 11:37 AM (Therapist B)
34,11:39 AM,11:49 AM,Therapist B,11:39 AM - 11:49 AM (Therapist B)
35,11:50 AM,12:00 PM,Therapist A,11:50 AM - 12:00 PM (Therapist A)
36,12:02 PM,12:12 PM,Therapist A,12:02 PM - 12:12 PM (Therapist A)
37,12:10 PM,12:20 PM,Therapist B,12:10 PM - 12:20 PM (Therapist B)
38,12:14 PM,12:24 PM,Therapist A,12:14 PM - 12:24 PM (Therapist A)
39,12:22 PM,12:32 PM,Therapist B,12:22 PM - 12:32 PM (Therapist B)
40,12:26 PM,12:36 PM,Therapist A,12:26 PM - 12:36 PM (Therapist A)
41,12:34 PM,12:44 PM,Therapist B,12:34 PM - 12:44 PM (Therapist B)
42,12:38 PM,12:48 PM,Therapist A,12:38 PM - 12:48 PM (Therapist A)
43,12:46 PM,12:56 PM,Therapist B,12:46 PM - 12:56 PM (Therapist B)
44,12:50 PM,1:00 PM,Therapist A,12:50 PM - 1:00 PM (Therapist A)
45,12:58 PM,1:08 PM,Therapist B,12:58 PM - 1:08 PM (Therapist B)
46,1:02 PM,1:12 PM,Therapist A,1:02 PM - 1:12 PM (Therapist A)
47,1:10 PM,1:20 PM,Therapist B,1:10 PM - 1:20 PM (Therapist B)
48,1:14 PM,1:24 PM,Therapist A,1:14 PM - 1:24 PM (Therapist A)
49,1:22 PM,1:32 PM,Therapist B,1:22 PM - 1:32 PM (Therapist B)
50,1:34 PM,1:44 PM,Therapist B,1:34 PM - 1:44 PM (Therapist B)
51,1:45 PM,1:55 PM,Therapist A,1:45 PM - 1:55 PM (Therapist A)
52,1:57 PM,2:07 PM,Therapist A,1:57 PM - 2:07 PM (Therapist A)
53,2:03 PM,2:13 PM,Therapist B,2:03 PM - 2:13 PM (Therapist B)
54,2:09 PM,2:19 PM,Therapist A,2:09 PM - 2:19 PM (Therapist A)
55,2:15 PM,2:25 PM,Therapist B,2:15 PM - 2:25 PM (Therapist B)
56,2:21 PM,2:31 PM,Therapist A,2:21 PM - 2:31 PM (Therapist A)
57,2:27 PM,2:37 PM,Therapist B,2:27 PM - 2:37 PM (Therapist B)
58,2:33 PM,2:43 PM,Therapist A,2:33 PM - 2:43 PM (Therapist A)
59,2:39 PM,2:49 PM,Therapist B,2:39 PM - 2:49 PM (Therapist B)
60,2:45 PM,2:55 PM,Therapist A,2:45 PM - 2:55 PM (Therapist A)
